2026-07-29								
股票代码	股票名称	当前收盘价	5日ATR	首道重力墙(元)	墙体装甲厚度	触网净空间(元)	ATR波动跨度	★第一浪利润期望
"000572.SZ"	"海马汽车"	3.72	0.182990634	8.92	5格	5.2	28.4	139.78
"600418.SS"	"江淮汽车"	22.17	1.365998655	48.25	5格	26.08	19.1	117.64
"603829.SS"	"洛凯股份"	14.15	0.650034095	27.81	5格	13.66	21	96.54
"002368.SZ"	"太极股份"	13.93	0.584169324	25.58	5格	11.65	19.9	83.63
"002544.SZ"	"普天科技"	15.66	0.697972324	27.26	5格	11.6	16.6	74.07
"603918.SS"	"金桥信息"	10.45	0.586651499	18.12	5格	7.67	13.1	73.4
"603202.SS"	"天有为"	52.94	1.338195907	91.35	5格	38.41	28.7	72.55
"605056.SS"	"咸亨国际"	13.7	0.760658565	23.63	5格	9.93	13.1	72.48
"002471.SZ"	"中超控股"	5.22	0.24319412	9	5格	3.78	15.5	72.41
"001222.SZ"	"源飞宠物"	14.03	0.572130692	24.08	5格	10.05	17.6	71.63
"002276.SZ"	"万马股份"	10.06	0.353994774	17.25	5格	7.19	20.3	71.47
"002229.SZ"	"鸿博股份"	10.02	0.584108041	17.12	5格	7.1	12.2	70.86
"001330.SZ"	"博纳影业"	4.8	0.245683973	8.19	5格	3.39	13.8	70.62
"000555.SZ"	"神州信息"	10.82	0.497615043	18.14	5格	7.32	14.7	67.65
"600571.SS"	"信雅达"	10.08	0.380668171	16.8	5格	6.72	17.7	66.67
"603108.SS"	"润达医疗"	9.5	0.448541023	15.8	5格	6.3	14	66.32
"003002.SZ"	"壶化股份"	15.71	0.778454824	26.07	5格	10.36	13.3	65.95
"600376.SS"	"首开股份"	3.69	0.205191688	6.09	5格	2.4	11.7	65.04
"600967.SS"	"内蒙一机"	11.48	0.65984801	18.85	5格	7.37	11.2	64.2
"600055.SS"	"万东医疗"	10.85	0.368862748	17.66	5格	6.81	18.5	62.76
"002988.SZ"	"豪美新材"	20.09	0.95547915	32.62	5格	12.53	13.1	62.37
"600828.SS"	"茂业商业"	3.77	0.186622814	6.12	5格	2.35	12.6	62.33
"002324.SZ"	"普利特"	8.93	0.50430769	14.49	5格	5.56	11	62.26
"002987.SZ"	"京北方"	10.91	0.385847669	17.66	5格	6.75	17.5	61.87
"002721.SZ"	"金一文化"	2.36	0.083383637	3.82	5格	1.46	17.5	61.86
"603619.SS"	"中曼石油"	21.32	1.776949027	34.44	5格	13.12	7.4	61.54
