【⚡ 雅虎信号触发】拦截超跌个股: 688066.SS | 当前价: 7.47 | 回撤幅度: 50.0%
【⚡ 雅虎信号触发】拦截超跌个股: 688079.SS | 当前价: 14.49 | 回撤幅度: 57.19%
【⚡ 雅虎信号触发】拦截超跌个股: 688096.SS | 当前价: 7.19 | 回撤幅度: 53.61%
【⚡ 雅虎信号触发】拦截超跌个股: 688170.SS | 当前价: 47.92 | 回撤幅度: 51.92%
【⚡ 雅虎信号触发】拦截超跌个股: 688367.SS | 当前价: 25.38 | 回撤幅度: 52.28%
【⚡ 雅虎信号触发】拦截超跌个股: 688478.SS | 当前价: 44.19 | 回撤幅度: 53.14%
【⚡ 雅虎信号触发】拦截超跌个股: 688551.SS | 当前价: 39.79 | 回撤幅度: 50.47%
【⚡ 雅虎信号触发】拦截超跌个股: 688603.SS | 当前价: 100.18 | 回撤幅度: 53.13%
【⚡ 雅虎信号触发】拦截超跌个股: 688635.SS | 当前价: 267.29 | 回撤幅度: 64.35%
【⚡ 雅虎信号触发】拦截超跌个股: 688661.SS | 当前价: 87.9 | 回撤幅度: 50.34%
【⚡ 雅虎信号触发】拦截超跌个股: 300128.SZ | 当前价: 4.27 | 回撤幅度: 50.0%
【⚡ 雅虎信号触发】拦截超跌个股: 300196.SZ | 当前价: 16.45 | 回撤幅度: 51.98%
【⚡ 雅虎信号触发】拦截超跌个股: 300302.SZ | 当前价: 29.61 | 回撤幅度: 52.24%
【⚡ 雅虎信号触发】拦截超跌个股: 300322.SZ | 当前价: 17.62 | 回撤幅度: 52.22%
【⚡ 雅虎信号触发】拦截超跌个股: 300328.SZ | 当前价: 10.74 | 回撤幅度: 54.34%
【⚡ 雅虎信号触发】拦截超跌个股: 300537.SZ | 当前价: 17.77 | 回撤幅度: 51.25%
【⚡ 雅虎信号触发】拦截超跌个股: 300570.SZ | 当前价: 141.0 | 回撤幅度: 50.44%
【⚡ 雅虎信号触发】拦截超跌个股: 300632.SZ | 当前价: 16.46 | 回撤幅度: 54.13%
【⚡ 雅虎信号触发】拦截超跌个股: 300715.SZ | 当前价: 12.16 | 回撤幅度: 56.82%
【⚡ 雅虎信号触发】拦截超跌个股: 300812.SZ | 当前价: 17.7 | 回撤幅度: 60.78%
【⚡ 雅虎信号触发】拦截超跌个股: 300863.SZ | 当前价: 35.9 | 回撤幅度: 53.17%
【⚡ 雅虎信号触发】拦截超跌个股: 300959.SZ | 当前价: 100.8 | 回撤幅度: 57.08%
【⚡ 雅虎信号触发】拦截超跌个股: 301013.SZ | 当前价: 38.9 | 回撤幅度: 55.18%
【⚡ 雅虎信号触发】拦截超跌个股: 301188.SZ | 当前价: 35.91 | 回撤幅度: 52.94%
【⚡ 雅虎信号触发】拦截超跌个股: 301313.SZ | 当前价: 32.74 | 回撤幅度: 53.56%
【⚡ 雅虎信号触发】拦截超跌个股: 301387.SZ | 当前价: 53.27 | 回撤幅度: 56.27%
【⚡ 雅虎信号触发】拦截超跌个股: 301486.SZ | 当前价: 145.7 | 回撤幅度: 50.94%
